38	 10	 14	 2	 2	 
5	 0	 0	 0	 2	 
25	 0	 0	 0	 38	 
15	 2	 5	 1	 1	 
4	 0	 5	 0	 0	 
7445	 0	 38	 0	 0	 
14	 17	 21	 2	 1	 
3	 0	 2	 0	 0	 
28828	 0	 404	 0	 0	 
44	 5	 10	 2	 1	 
12	 0	 0	 0	 0	 
54573	 0	 0	 0	 0	 
11	 2	 6	 2	 2	 
5	 0	 0	 2	 2	 
112	 0	 0	 4	 38	 
16	 5	 15	 2	 1	 
5	 0	 6	 0	 0	 
4278	 0	 791	 0	 0	 
5	 5	 7	 2	 1	 
3	 0	 3	 0	 0	 
5080	 0	 15	 0	 0	 
19	 14	 29	 5	 3	 
0	 1	 3	 3	 3	 
0	 26	 337	 2173	 3423	 
38	 10	 14	 2	 2	 
5	 0	 0	 0	 2	 
9	 0	 0	 0	 14	 
5	 5	 9	 1	 1	 
4	 0	 5	 0	 0	 
7217	 0	 47	 0	 0	 
5	 2	 3	 2	 1	 
2	 0	 0	 0	 0	 
71	 0	 0	 0	 0	 
31	 14	 19	 3	 2	 
3	 0	 0	 2	 2	 
8	 0	 0	 11	 29	 
69	 5	 4	 1	 1	 
3	 2	 0	 0	 0	 
2517	 4	 0	 0	 0	 
31	 14	 19	 3	 2	 
7	 0	 0	 2	 2	 
15	 0	 0	 9	 12	 
