0015AE7C27688D45F79170DCEA16131CE557912A1A0C5F3B6B0465EE0774A452.apk	0.0133	0.0521	0.9346	0.0032	0.0213	0.9754	0.4545	0.1818	0.2727	0.0909	0.0004	0.0015	0.0099	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0.9918	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0312	0	0.0938	0	0	0	0	0	0	0.0781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7969	0.0029	0.0345	0.0278	0.6111	0.1667	0.0833	0.1111	0.0258	0.0023	0.0796	0.7705	0	0.0187	0	0.0211	0.0656	0.0164	0
001E0F67B5BB9DDAB14FACBEF94791EAED0EB939BCB651D19DAFD0E2A05D8178.apk	0.03	0.1941	0.7759	0.0134	0.1009	0.8858	0.5455	0.1364	0.2273	0.0909	0.0009	0.0032	0.0174	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.9455	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189	0.066	0.8679	0	0	0.0189	0	0	0	0	0.0283	0	0	0.0037	0.0354	0.0339	0.6441	0.1525	0.0847	0.0847	0.0197	0.0018	0.1199	0.3846	0	0.0787	0.0179	0.0161	0.2755	0.0859	0
00235A4DBD50B0F8E6AA4B065815CE68B89057FAA8CCE24DEEC6DDCFC70BC692.apk	0.013	0.1145	0.8725	0.003	0.0576	0.9394	0.3913	0.1739	0.3913	0.0435	0.0001	0.0022	0.0097	0.0046	0	0	0	0	0	0	0	0.0219	0	0	0	0	0	0	0.0146	0	0	0.9635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7385	0	0	0	0	0	0	0	0	0	0	0.1231	0	0	0	0	0	0.1077	0	0	0	0	0	0	0	0	0	0.0154	0	0	0.0154	0	0	0.0043	0.0339	0.0164	0.6066	0.1475	0.1475	0.082	0.0229	0.0021	0.0187	0.7006	0	0.0707	0.0208	0.0187	0.1164	0.0291	0
00621E015191863041E78726B863B7E1374B17FDA690367878D1272B0E44B232.apk	0.0183	0.1474	0.8343	0.0046	0.0736	0.9218	0.7273	0.0909	0.1364	0.0455	0.0002	0.0022	0.0108	0.0044	0	0	0	0	0	0	0	0	0	0	0	0.0253	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0.9114	0	0	0	0	0.0063	0	0	0	0.1094	0	0	0	0	0	0.0312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7656	0	0	0	0	0	0	0	0	0.0938	0	0	0	0.0043	0.0315	0.0159	0.7778	0.0952	0.0476	0.0635	0.0238	0.0022	0.0194	0.7495	0	0.041	0.013	0.0194	0.1102	0.0216	0
0085A90B92A00377111E89E19A9654495B238A0BDC35FCBD76C0AD981435AF3C.apk	0.018	0.3211	0.6609	0.0101	0.1838	0.8062	0.625	0.125	0.1875	0.0625	0.0004	0.0013	0.0091	0.0051	0	0	0	0	0	0	0	0	0	0.9933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0.0238	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0.119	0	0	0	0.0595	0	0	0	0	0.7857	0	0.0027	0.0291	0.0222	0.6889	0.1333	0.0667	0.0889	0.023	0.0021	0.09	0.7343	0.0335	0.0251	0	0.0188	0.0586	0.0146	0
00F4FA52F37037EFB710C18B7D7AE7708A27AB1BEA333E99CDCBD680EB32408B.apk	0.0131	0.1115	0.8754	0.0042	0.0499	0.9458	0.4286	0	0.4286	0.1429	0.0001	0.0002	0.0102	0.0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0244	0	0	0	0	0.9675	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8356	0	0	0	0.0137	0	0	0	0	0	0.0137	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0.0019	0.0351	0.0435	0.7391	0	0.1304	0.087	0.026	0.0024	0.078	0.773	0	0.0142	0.0236	0.0213	0.0402	0.0213	0
01E7D8662D10A440BEF9F1B34992E8E607FFE3E78C635E8F6CF85A5EE56E36E5.apk	0.0511	0.1029	0.846	0.0181	0.0599	0.9221	0.6765	0.0588	0.2353	0.0294	0.0006	0.003	0.0125	0.006	0	0	0	0	0	0	0	0	0.0221	0	0	0.9724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0.814	0	0	0	0	0	0	0	0	0	0	0	0.0233	0.0116	0	0	0	0	0	0	0	0.0814	0	0	0.0698	0	0	0.0055	0.0358	0.0127	0.7595	0.0759	0.1013	0.0506	0.0212	0.0019	0.0656	0.7181	0	0.0598	0	0.0174	0.056	0.0598	0
0219A154D8C6873AE16C53D313A5F6EF0509D45D1BEFCB2C472632A544959611.apk	0.0211	0.034	0.9449	0.0111	0.0139	0.975	0.3636	0.1818	0.3636	0.0909	0.0001	0.0005	0.009	0.004	0	0	0	0	0	0	0.958	0	0.0084	0	0	0	0	0.0336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717	0	0	0	0.0189	0	0	0	0	0	0	0	0.0755	0	0	0.1509	0	0	0	0	0	0	0	0.0377	0	0	0	0	0	0	0	0.0026	0.0315	0.0294	0.5294	0.2059	0.1176	0.1176	0.0265	0.0024	0.0578	0.788	0	0.0169	0	0.0723	0.0169	0.0193	0
02442E170E2EFD79BCC50A40C576BE11E8F0BA2D7501800E51F99427FF61E41D.apk	0.0428	0.1339	0.8233	0.0107	0.1027	0.8866	0.4	0.2	0.3	0.1	0.0001	0.0018	0.0113	0.0038	0	0	0	0	0	0	0	0.0175	0	0	0	0	0	0	0	0	0	0	0.8947	0	0	0	0	0	0	0	0.0058	0	0	0	0.0819	0	0	0	0	0	0	0	0	0	0	0.0517	0	0	0	0	0	0	0	0.0345	0	0	0	0.0345	0	0	0.7759	0.1034	0	0	0	0	0	0	0	0	0	0	0.0022	0.0304	0.0303	0.5758	0.1818	0.0909	0.1212	0.0239	0.0022	0.037	0.7978	0	0.0304	0.013	0.0196	0.0609	0.0152	0
02542C284CA7494A2000DE5EDC0A614ACDD1FCEAB5D71C2DD378F23F3D2E31F4.apk	0.0117	0.2402	0.7481	0.0026	0.1303	0.8671	0.5	0.0769	0.3846	0.0385	0.0005	0.0038	0.0122	0.0063	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.925	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.0769	0	0	0	0	0	0	0	0	0	0	0	0.0096	0	0	0.8269	0	0	0	0	0	0	0	0	0	0	0.0192	0.0673	0	0	0	0.0036	0.0308	0.0169	0.6271	0.1356	0.1695	0.0508	0.0218	0.002	0.0734	0.6885	0	0.0734	0.0437	0.0179	0.0575	0.0218	0
