134	 760	 2	 1	53511	264	38309	17	16
130	 777	 2	 1	69409	506	102277	152	151
64	 732	 4	 1	45486	1175	38289	6	3
134	 760	 2	 1	53511	288	68653	34	33
40	 632	 2	 1	24775	34	576	9	8
138	 1210	 4	 3	53055	1140	28911	6	14
124	 758	 8	 4	41705	488	69890	1029	2445
53	 516	 12	 10	22404	249	155697	30	2402
124	 758	 8	 4	41705	488	63880	922	2155
133	 854	 0	 0	50398	59	14964	0	0
74	 720	 24	 47	26630	1349	90168	43	3036
36	 488	 14	 26	12792	478	224762	63	4477
75	 677	 10	 6	28064	352	11452	18	13
224	 1053	 2	 1	61905	163	49811	173	172
100	 740	 6	 7	30404	1249	148142	754	3877
84	 527	 23	 15	23509	929	26492	47	57
40	 633	 2	 3	24769	25	896	4	239
113	 778	 2	 1	58568	50	618	3	2
24	 420	 8	 11	14324	482	52577	125	1107
25	 407	 10	 11	14126	450	32552	44	614
51	 670	 33	 56	45386	2169	271653	138	5733
96	 860	 9	 8	59060	945	104665	609	2802
205	 1096	 2	 0	57285	78	17244	161	0
124	 758	 8	 4	41705	485	68419	990	2346
48	 665	 7	 17	31127	1302	8960	12	94
27	 450	 2	 2	14766	34	15617	13	23
121	 900	 3	 1	54343	433	73566	38	36
124	 758	 8	 4	41705	488	62183	922	2153
49	 686	 10	 30	30549	1672	30996	24	528
82	 608	 5	 2	21705	138	55066	563	374
27	 408	 13	 9	11979	496	81697	143	237
19	 313	 2	 1	8935	27	1380	3	2
85	 619	 2	 1	25652	86	26312	188	187
284	 1124	 1	 0	53843	576	3148	1	0
23	 404	 5	 9	13662	325	29719	8	1084
257	 1054	 14	 33	50012	1321	31215	25	181
32	 402	 7	 5	10337	72	4526	17	196
62	 498	 34	 37	20761	1051	160134	281	7020
82	 614	 11	 12	27917	1002	47638	148	447
33	 567	 3	 2	19175	43	642	15	15
31	 525	 2	 1	18032	414	3714	3	2
51	 432	 8	 8	10835	157	29307	58	6463
35	 612	 11	 7	21678	695	61609	340	4958
30	 567	 19	 36	19354	357	11912	250	3319
26	 419	 12	 7	12129	447	31813	147	207
31	 547	 3	 1	19025	15	389	20	18
70	 649	 19	 22	26990	1028	6797	30	74
26	 403	 4	 7	13877	337	115312	6	975
25	 419	 9	 9	15206	579	10804	15	1194
30	 543	 18	 35	18961	375	32203	184	4125
54	 569	 8	 6	26461	439	55763	146	256
102	 882	 2	 1	58467	422	12012	3	2
41	 576	 18	 33	20148	475	68795	61	19425
38	 562	 8	 7	24571	669	13540	46	78
24	 419	 8	 9	14096	334	14355	15	1165
69	 628	 24	 41	28068	1403	166111	170	4822
41	 614	 2	 1	22549	21	155	3	2
41	 617	 18	 36	21786	872	355455	47	4095
21	 438	 7	 10	13477	654	101978	84	247
49	 633	 29	 44	23266	1176	65137	412	2447
49	 543	 8	 9	18263	682	57939	38	105
44	 676	 14	 18	23684	814	63748	155	564
61	 521	 7	 9	20894	406	64110	135	1125
127	 734	 20	 28	61374	1943	178392	576	1826
26	 469	 4	 7	15363	261	62486	6	1008
37	 534	 14	 17	20161	793	39183	65	977
24	 403	 6	 9	14066	319	187097	107	1521
40	 477	 21	 43	16467	751	22417	40	1008
24	 437	 9	 10	14836	370	25857	62	925
87	 809	 2	 2	56034	520	2112	3	3
41	 643	 2	 1	26318	152	10744	15	14
48	 575	 6	 6	22436	432	164874	78	275
38	 479	 24	 27	13647	778	104765	172	380
148	 878	 25	 53	65968	2224	357601	64	4387
28	 464	 3	 2	15684	31	852	21	20
26	 408	 12	 7	11423	378	33611	138	184
25	 423	 9	 10	14755	445	138500	42	1289
79	 751	 22	 16	49153	330	32462	90	12602
86	 804	 5	 1	43890	1034	367548	59	1
73	 651	 32	 26	22645	811	164275	274	11438
61	 495	 7	 4	20176	411	8641	50	94
107	 1113	 9	 5	43506	571	110131	654	792
24	 403	 5	 8	13904	246	36070	8	1395
97	 640	 4	 1	22824	97	4818	33	16
27	 423	 9	 10	14546	381	33206	151	1194
33	 376	 2	 1	10316	35	253	4	3
111	 799	 21	 26	58807	778	193522	426	12379
17	 328	 2	 3	8821	25	1469	33	34
34	 486	 12	 4	16284	135	12131	94	86
68	 500	 8	 10	20344	714	47483	130	1368
118	 822	 9	 10	64210	1515	150463	81	109
25	 407	 8	 10	14345	445	48323	161	1438
