003585f856a2a322e4a7a989a2bff0eb62e025aa9d2bcec53742f82c76d592e9.apk	2011-11-28	0.194	0.0597	0.1177	0.0317	0.5385	0.75	0.239	0.3448	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0128	0.0161	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.8983	0	0	0.6667	0.1017	0	0	0	0
010e5eda34ac202a8494fb02f54fde0124f19f0b3c0233cf692f449a0abf1640.apk	2011-10-31	0.2241	0.0517	0.1145	0.0291	0.4615	0.6667	0.2263	0.3077	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.0862	0.0102	0.0106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.9091	0	0	0.6	0.0909	0	0	0	0
017597800ffa7a61b202eab6200364b098d2a55742442f8d7f8a74ca62c07f73.apk	2011-11-21	0.194	0.0597	0.1151	0.0339	0.5385	0.75	0.2462	0.3478	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0142	0.0183	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.9032	0	0	0.6667	0.0968	0	0	0	0
03191237256611ca8400dcc35261f2e9c028956fef272a574680b2c8053c566d.apk	2011-12-06	0.194	0.0597	0.1222	0.0296	0.5385	0.75	0.2242	0.3333	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0111	0.0131	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.8868	0	0	0.6667	0.1132	0	0	0	0
03e51cb7571b3c7da1f063d69dcba6e29c2aaa2dfeec2e056a9f0f6df3fddf8e.apk	2011-11-25	0.194	0.0597	0.1142	0.0308	0.5385	0.75	0.2443	0.339	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0117	0.0141	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.8889	0	0	0.6667	0.1111	0	0	0	0
04cdfd2f08208e2759a6cf201dfe4c5ee6f724fb4ca752b5d2b924024e661ac1.apk	2011-07-11	0.1619	0.0303	0.2519	0.0408	0.271	0.8	0.0561	0.0283	0	0	0	0	0.0187	0.002	0	0	0	0	0	0	0.9813	0.998	1	1	0	0	0	0	0.9	0.9027	0.9375	0.9756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.0973	0.0625	0.0244	0.0182	0.0575	0.0006	0.0157	0.6667	0.7727	0.25	0.1818	0	0	0.0833	0.0455	0	0	0	0	0.2632	0.6344	0	0	0	0	0	0	0	0	0	0	0.6842	0.362	0.0526	0.0036	0	0
04eb40f0d393f72ebbc3b004dadd58bbbac311b2946ae79a5c5cfbbeadefb811.apk	2011-10-14	0.194	0.0597	0.1102	0.0324	0.5385	0.75	0.2384	0.3168	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0128	0.0157	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.8776	0	0	0.6667	0.1224	0	0	0	0
04ec5be483eb0ca7f11122f953c1822d6b0d076c24f1cf57e20446c3ba586939.apk	2011-12-10	0.194	0.0597	0.117	0.0298	0.5385	0.75	0.2356	0.3302	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746	0.1343	0.0112	0.0132	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333	0.8723	0	0	0.6667	0.1277	0	0	0	0
05a08d700515e000fbf035a920f2215b957d5dceec987009c3bf9613c2dfd4b4.apk	2011-10-25	0.0811	0.0541	0.0038	0.0019	0.6667	1	0.459	0.9032	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.5	0.1935	0.5	0.1429	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.8065	0.5	0.8571	0	0	0	0	0.0541	0.027	0.0004	0.0004	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071987b6dbeea4cb49309fd0a5b1f0df934f62fb4ddb31671b212783299757a0.apk	2011-08-26	0.1333	0	0.0422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.0333	0.0109	0.0105	0	0	0.6667	0.9836	0	0	0.3333	0.0164	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
