811	 367	 38	 11	53511	281	25685	4301	2824	15	11	100	46
1083	 405	 47	 9	69409	506	705702	121918	10894	9	4	8786	4198
752	 272	 149	 25	45486	1307	32781	5143	93	13	9	27	16
811	 367	 36	 8	53511	264	10009	1272	1119	11	8	53	12
595	 317	 3	 9	24775	31	2305	84	138	1	8	16	125
1026	 436	 60	 6	53055	768	7193	871	42	4	2	28	25
725	 277	 43	 6	41705	488	385119	39663	1728	3	4	895	960
452	 247	 46	 16	22404	579	740262	218775	79217	22	9	252	193
725	 277	 43	 6	41705	488	372438	38771	1732	3	4	864	904
1002	 459	 8	 3	50398	59	70025	11162	5073	2	2	1014	3038
616	 295	 144	 58	26630	1559	1603985	709075	19979	40	28	584	553
134	 51	 80	 26	12792	539	1013697	305028	27637	36	22	9884	5465
665	 331	 75	 16	28064	413	69921	23718	2990	10	7	278	1020
1015	 352	 7	 1	61905	163	289199	18543	3043	1	1	1014	1014
571	 233	 136	 25	30404	1134	679497	108685	9816	23	14	5151	1779
409	 219	 33	 29	23509	418	2722	429	277	11	19	19	34
593	 312	 2	 5	24769	25	413	4	185	1	2	1	2
865	 414	 5	 4	58568	50	1629	17	8	1	1	1	1
229	 78	 54	 36	14324	524	457207	50902	17378	24	27	1873	1981
206	 81	 55	 35	14126	472	171989	15625	9706	30	29	1831	1795
1000	 391	 157	 55	45386	1930	81680	21049	1494	34	35	474	416
908	 422	 93	 30	59060	943	515441	87349	13133	17	18	4322	4575
1024	 455	 19	 2	57285	107	123449	22538	4438	4	2	4372	2208
725	 277	 43	 6	41705	488	390464	40551	1773	3	4	781	792
581	 222	 137	 39	31127	1333	7818	1929	281	15	23	205	200
340	 207	 6	 3	14766	34	74365	13206	4406	3	1	11364	2752
934	 330	 26	 2	54343	435	417723	19985	227	1	1	105	105
675	 326	 150	 47	30549	2159	52085	13783	615	36	20	104	84
348	 134	 13	 2	21705	138	281825	12777	1142	2	1	2142	1071
116	 69	 52	 27	11979	510	508298	112905	1758	21	22	491	195
15	 9	 4	 7	8935	35	3323	632	1142	3	3	259	134
623	 300	 7	 1	25652	86	152139	11947	1092	0	0	0	0
960	 426	 49	 3	53843	632	2749	236	12	3	2	8	6
811	 367	 13	 2	53511	74	666	174	210	3	1	32	1
1083	 405	 47	 9	69409	506	634039	111031	9954	9	4	7896	3813
752	 272	 174	 35	45486	1933	63790	9774	290	19	17	60	68
811	 367	 41	 9	53511	286	40527	6341	3879	14	9	222	40
595	 317	 4	 10	24775	34	4631	217	346	3	9	47	328
1026	 436	 90	 13	53055	1403	134443	17828	60	10	5	33	27
725	 277	 43	 6	41705	488	379695	39703	1737	3	4	773	775
452	 247	 35	 15	22404	258	1205391	393333	99322	18	9	61	76
725	 277	 43	 6	41705	488	619696	64187	2692	3	4	1456	1482
1002	 459	 8	 3	50398	59	79338	12647	5748	2	2	1149	3443
616	 295	 104	 29	26630	904	11235	3774	196	29	16	80	40
134	 51	 81	 25	12792	537	1157805	362219	28126	34	21	9482	10512
665	 331	 77	 16	28064	435	104609	35733	4585	13	9	431	1569
1015	 352	 7	 1	61905	163	312020	19846	3349	1	1	1116	1116
571	 233	 150	 26	30404	1216	651413	105288	9393	24	14	4607	1584
409	 219	 127	 50	23509	1247	735675	196684	158674	29	32	4358	4964
593	 312	 3	 5	24769	30	12137	529	3842	2	3	523	526
865	 414	 7	 4	58568	62	3620	59	16	4	2	9	5
229	 78	 53	 35	14324	511	424228	29383	12356	18	24	1892	2194
206	 81	 55	 33	14126	465	151378	14232	9158	22	26	1757	1811
1000	 391	 143	 47	45386	1683	15961	3037	317	32	30	200	73
908	 422	 93	 30	59060	945	584889	98231	14280	19	19	4607	4839
1024	 455	 19	 2	57285	119	111357	20423	4042	4	2	4012	2016
725	 277	 43	 6	41705	488	359787	37259	1694	3	4	746	749
581	 222	 165	 52	31127	1815	26867	8114	1214	22	27	727	1008
340	 207	 6	 3	14766	34	103106	26891	8964	3	1	26649	8883
934	 330	 26	 2	54343	435	423098	20425	215	1	1	96	96
725	 277	 43	 6	41705	488	383866	39960	1681	3	4	784	793
675	 326	 108	 32	30549	1043	10422	2697	148	16	12	30	33
348	 134	 13	 2	21705	138	273739	12300	1086	2	1	2052	1026
116	 69	 53	 27	11979	513	450821	106336	1436	22	22	42	43
15	 9	 3	 6	8935	27	2907	655	836	3	2	215	108
623	 300	 7	 1	25652	86	153314	12064	1105	0	0	0	0
960	 426	 47	 1	53843	604	2974	283	3	2	1	4	2
811	 367	 28	 10	53511	202	9302	1559	1131	11	10	40	22
1083	 405	 47	 9	69409	506	644606	111316	9991	9	4	7036	3513
752	 272	 116	 13	45486	869	8628	1369	46	7	4	7	4
811	 367	 35	 10	53511	227	21984	3163	2257	10	9	49	39
595	 317	 4	 10	24775	34	4014	189	276	3	9	67	233
1026	 436	 29	 2	53055	447	4319	531	21	2	1	19	18
725	 277	 43	 6	41705	488	354796	36729	1605	3	4	759	866
452	 247	 32	 14	22404	247	1820330	592405	149372	15	8	110	89
725	 277	 43	 6	41705	488	358071	36563	1618	3	4	825	892
1002	 459	 8	 3	50398	59	84515	13472	6123	2	2	1224	3668
616	 295	 133	 43	26630	1382	297029	129167	3955	33	22	218	146
134	 51	 81	 25	12792	528	1149635	352936	29666	33	20	10812	11459
665	 331	 75	 15	28064	400	12020	3805	761	13	7	211	192
1015	 352	 7	 1	61905	163	317405	20229	3406	1	1	1136	1136
571	 233	 55	 5	30404	394	2743	544	23	8	3	8	3
409	 219	 146	 50	23509	1845	529537	125101	103563	39	30	2110	2989
593	 312	 3	 5	24769	30	21075	1236	5462	2	3	1231	1233
865	 414	 5	 4	58568	50	612	17	8	1	1	1	1
229	 78	 55	 35	14324	519	429700	30118	12512	28	27	1948	2065
206	 81	 55	 35	14126	475	162843	14943	9111	30	29	1442	1538
1000	 391	 164	 64	45386	2282	367754	82483	6837	41	39	5289	1343
908	 422	 93	 30	59060	943	489142	82900	12003	19	19	3997	4099
1024	 455	 19	 2	57285	119	114344	20950	4144	4	2	4096	2064
725	 277	 43	 6	41705	488	180666	18752	877	3	4	391	403
581	 222	 43	 10	31127	363	969	125	22	2	2	2	2
340	 207	 6	 3	14766	34	29694	7069	2355	3	1	6990	2330
934	 330	 26	 2	54343	435	409484	19825	206	1	1	82	82
725	 277	 43	 6	41705	488	411256	42879	1753	3	4	813	876
675	 326	 93	 22	30549	960	6005	1131	96	20	9	39	16
348	 134	 13	 2	21705	138	278213	12348	1096	2	1	2050	1025
116	 69	 53	 27	11979	519	565131	125397	1517	22	22	389	157
15	 9	 3	 6	8935	27	2480	389	918	3	2	103	52
623	 300	 7	 1	25652	86	147941	11597	1058	0	0	0	0
960	 426	 55	 9	53843	801	3770	304	28	4	3	7	6
22	 14	 13	 5	9275	75	37337	6264	2168	10	5	868	440
332	 125	 91	 33	19413	651	440530	43870	14517	27	28	2510	2464
464	 147	 8	 1	23164	118	291282	6662	125	0	0	0	0
325	 138	 54	 14	18750	405	162456	15710	2659	12	8	1801	1797
332	 125	 93	 33	19461	665	494662	48468	15373	24	28	2717	2430
574	 302	 21	 16	24990	163	20665	5376	1975	12	15	937	919
1216	 349	 15	 5	71672	334	392170	19249	8310	2	4	309	1367
22	 14	 13	 5	9275	75	37338	6486	2128	10	5	996	476
332	 125	 90	 33	19413	645	481918	47520	14953	25	30	2641	2446
464	 147	 8	 1	23164	118	283395	6432	115	0	0	0	0
325	 138	 54	 15	18750	431	161917	15060	2508	13	9	1595	1591
332	 125	 89	 30	19461	630	480120	47874	15227	23	24	2620	2419
574	 302	 21	 16	24990	163	14671	3876	1522	12	14	671	707
1216	 349	 15	 5	71672	334	374557	18836	8275	2	4	539	1373
22	 14	 13	 5	9275	75	45124	7487	2507	10	5	1096	513
332	 125	 91	 29	19413	643	479959	47786	15433	22	23	2555	2455
464	 147	 8	 1	23164	118	285641	6505	122	0	0	0	0
325	 138	 66	 32	18750	506	164171	15309	2627	24	24	1716	1715
332	 125	 93	 31	19461	648	487905	48858	15510	25	25	2648	2440
574	 302	 21	 16	24990	163	18951	5295	1835	13	14	1069	833
1216	 349	 15	 5	71672	334	389725	19244	8489	2	4	365	1415
623	 299	 55	 32	22350	380	130018	16152	10245	23	26	2406	2293
279	 107	 52	 28	17516	410	400048	44309	17790	17	23	602	607
591	 309	 33	 31	24215	271	233984	18445	10813	20	26	4018	7049
330	 124	 87	 32	19459	630	496029	49616	15616	23	26	2685	2568
1083	 405	 45	 8	69409	474	538359	114996	7926	9	4	6372	3156
330	 124	 92	 33	19303	654	472589	46847	15079	26	28	2482	2332
1052	 507	 23	 2	72695	176	284059	26109	4899	1	1	1027	1027
752	 272	 197	 48	45486	2656	233390	65343	1838	27	18	190	83
808	 403	 53	 7	36891	634	529534	69450	3622	18	6	5623	2292
217	 88	 50	 30	14556	431	187622	33808	18785	14	22	1643	1744
771	 361	 26	 13	36166	283	540986	18262	5744	8	5	5617	1989
791	 387	 54	 10	38385	592	454541	43021	1744	7	5	309	202
896	 387	 74	 2	50939	577	28504	4223	4	0	0	0	0
492	 254	 32	 12	20042	454	225036	37832	15343	2	6	3273	3292
831	 411	 54	 9	40663	442	2587	273	22	11	7	12	7
1003	 461	 24	 1	56042	157	283500	27117	1983	0	0	0	0
1011	 442	 4	 0	56171	104	188953	14326	0	0	0	0	0
440	 166	 49	 13	21087	538	416351	48108	4828	17	11	2198	2384
774	 300	 79	 22	27106	837	1096977	94022	65121	20	8	5674	1252
1013	 449	 26	 1	52782	169	286857	25951	1808	0	0	0	0
