134	 760	 2	 1	53511	281	25685	18	17
130	 777	 2	 1	69409	506	705702	1144	1143
64	 732	 5	 8	45486	1307	32781	8	31
134	 760	 2	 1	53511	264	10009	6	5
40	 632	 2	 1	24775	31	2305	18	17
138	 1210	 7	 3	53055	768	7193	10	5
124	 758	 8	 4	41705	488	385119	5971	13261
53	 516	 21	 23	22404	579	740262	41	14202
124	 758	 8	 4	41705	488	372438	5787	13036
133	 854	 0	 0	50398	59	70025	0	0
74	 720	 20	 50	26630	1559	1603985	78	56039
36	 488	 16	 31	12792	539	1013697	296	22446
75	 677	 16	 13	28064	413	69921	58	101
224	 1053	 2	 1	61905	163	289199	1016	1015
100	 740	 6	 6	30404	1134	679497	3934	19143
84	 527	 4	 2	23509	418	2722	6	4
40	 633	 2	 3	24769	25	413	3	110
113	 778	 2	 1	58568	50	1629	3	2
24	 420	 10	 12	14324	524	457207	795	7937
25	 407	 10	 13	14126	472	171989	187	4145
51	 670	 31	 47	45386	1930	81680	104	2762
96	 860	 9	 8	59060	943	515441	3362	13322
205	 1096	 2	 0	57285	107	123449	1109	0
124	 758	 8	 4	41705	488	390464	6017	13536
48	 665	 7	 22	31127	1333	7818	12	87
27	 450	 2	 2	14766	34	74365	88	174
121	 900	 3	 1	54343	435	417723	143	141
49	 686	 18	 51	30549	2159	52085	43	989
82	 608	 5	 2	21705	138	281825	3205	2139
27	 408	 14	 10	11979	510	508298	738	1265
19	 313	 6	 4	8935	35	3323	12	11
85	 619	 2	 1	25652	86	152139	1095	1094
284	 1124	 2	 0	53843	632	2749	2	0
134	 760	 2	 1	53511	74	666	3	2
130	 777	 2	 1	69409	506	634039	1052	1051
64	 732	 12	 15	45486	1933	63790	23	62
134	 760	 2	 1	53511	286	40527	22	21
40	 632	 2	 1	24775	34	4631	43	42
138	 1210	 3	 2	53055	1403	134443	7	15
124	 758	 8	 4	41705	488	379695	5765	13151
53	 516	 12	 10	22404	258	1205391	33	15192
124	 758	 8	 4	41705	488	619696	4696	15955
