401	 1164	 0	 0	58214	77	465	0	0
124	 758	 8	 4	41705	488	354796	5482	12343
124	 758	 8	 4	41705	488	358071	5666	12464
133	 854	 0	 0	50398	59	84515	0	0
62	 628	 2	 1	29476	432	175047	265	264
74	 720	 25	 50	26630	1382	297029	50	11444
84	 614	 2	 1	23310	50	57090	1039	1038
87	 728	 2	 1	46335	192	216304	52	51
259	 1079	 0	 0	73072	0	0	0	0
119	 675	 6	 3	32357	352	556509	3060	2025
96	 766	 3	 2	51448	63	121857	2179	14146
294	 1186	 4	 1	66325	216	147507	1001	998
98	 604	 25	 7	32254	409	338753	635	568
78	 670	 13	 8	35156	811	103304	167	169
70	 658	 2	 1	36956	139	219575	970	969
53	 733	 12	 31	37662	1665	607346	24	422
75	 514	 29	 29	20225	899	98652	880	1479
52	 515	 4	 3	19589	371	402447	3071	17589
76	 614	 6	 3	28487	779	642873	3261	16341
134	 854	 2	 1	36450	113	230607	1047	1046
100	 740	 6	 4	30404	394	2743	10	23
84	 527	 43	 27	23509	1845	529537	919	1485
107	 815	 12	 7	43913	1341	997591	1268	8098
120	 748	 2	 1	31488	23	29897	1151	1150
113	 778	 2	 1	58568	50	612	3	2
24	 420	 9	 11	14324	519	429700	736	8098
136	 906	 4	 1	60689	70	29524	332	83
107	 815	 8	 5	43913	274	122890	12	9
91	 817	 29	 34	47883	1383	17716	69	270
90	 742	 0	 0	52608	0	0	0	0
133	 911	 4	 1	65536	439	363028	145	142
139	 850	 6	 6	69421	522	3044	10	33
25	 407	 10	 13	14126	475	162843	172	4449
91	 936	 0	 0	69841	0	0	0	0
75	 818	 0	 0	47640	178	290563	0	0
96	 860	 9	 8	59060	943	489142	3221	12829
134	 876	 49	 61	33475	2687	330904	2487	10003
132	 772	 17	 20	37304	1422	521340	461	11803
124	 758	 8	 4	41705	488	180666	2664	6147
111	 697	 2	 1	40899	67	89792	1110	1109
48	 665	 7	 5	31127	363	969	12	21
107	 815	 10	 6	43913	295	3585608	18	14
40	 416	 4	 14	9886	146	33194	80	1678
124	 758	 8	 4	41705	488	411256	6393	14323
379	 705	 2	 1	33793	10	12039	1205	1204
53	 510	 28	 29	25027	1790	426946	1902	5496
49	 686	 4	 11	30549	960	6005	7	127
82	 608	 5	 2	21705	138	278213	3076	2050
27	 408	 14	 9	11979	519	565131	790	1319
19	 313	 2	 1	8935	27	2480	3	2
85	 619	 2	 1	25652	86	147941	1059	1058
61	 620	 6	 4	29461	283	6859	54	58
284	 1124	 3	 0	53843	801	3770	3	0
74	 631	 3	 1	29963	363	311800	165	163
180	 598	 0	 0	50210	47	108985	0	0
53	 516	 12	 10	22404	247	1820330	54	14683
207	 990	 7	 7	51730	1296	104674	35	35
139	 926	 35	 42	34350	1336	323555	2340	9697
123	 797	 40	 52	24044	1684	437260	1758	46767
75	 835	 2	 1	37970	238	329360	1017	1016
36	 488	 17	 35	12792	528	1149635	320	26557
131	 957	 3	 1	56610	128	268458	1030	1028
133	 1039	 2	 1	57410	139	280062	1032	1031
215	 938	 5	 2	71798	389	447704	3019	1990
215	 938	 5	 2	71798	378	467480	2981	1971
215	 938	 7	 4	71798	417	210392	1297	864
140	 953	 4	 2	58849	281	407532	2090	2088
66	 577	 0	 0	21095	0	0	0	0
87	 810	 4	 2	37357	179	285738	2143	2141
75	 677	 10	 9	28064	400	12020	25	311
215	 938	 7	 4	71798	423	915063	2390	1593
158	 996	 60	 86	43221	2251	700496	3213	27703
224	 1053	 2	 1	61905	163	317405	1135	1134
215	 938	 5	 3	71798	406	520408	3147	2092
102	 553	 7	 8	19504	544	460570	9	865
40	 633	 2	 3	24769	30	21075	4	1664
162	 869	 6	 3	73021	389	457076	3358	7293
158	 1012	 12	 6	74814	886	570080	2643	13014
38	 457	 5	 7	14720	251	13030	8	11
81	 566	 3	 1	36139	158	67612	407	405
286	 1121	 0	 0	54034	0	0	0	0
53	 682	 3	 3	19472	136	281953	1982	72842
94	 681	 12	 8	32382	607	247825	468	856
30	 481	 10	 21	13811	801	869638	425	1926
112	 695	 2	 1	34720	67	92888	1148	1147
284	 745	 48	 47	48612	1618	905393	1500	18815
51	 670	 31	 56	45386	2282	367754	168	5611
47	 487	 2	 1	22046	268	213863	493	492
140	 953	 4	 2	58849	280	399893	2122	2120
92	 704	 26	 56	50515	1770	196617	177	3205
100	 653	 4	 2	34195	1212	187843	9	36
205	 1096	 2	 0	57285	119	114344	1037	0
150	 886	 5	 3	55055	368	1046	8	11
85	 643	 12	 15	23871	372	511427	1038	1275
107	 782	 5	 0	36310	144	404308	3004	0
27	 450	 2	 2	14766	34	29694	23	44
121	 900	 3	 1	54343	435	409484	113	111
215	 938	 7	 4	71798	419	357038	2319	1539
88	 765	 5	 5	51508	504	116932	141	141
215	 938	 7	 4	71798	418	323898	1989	1321
215	 938	 7	 4	71798	419	196145	1229	818
207	 899	 9	 3	69872	447	472665	4152	2089
215	 938	 7	 4	71798	423	448208	2952	1958
215	 938	 5	 2	71798	282	4951	27	17
215	 938	 7	 4	71798	387	134412	797	531
259	 1079	 0	 0	73072	0	0	0	0
124	 689	 5	 2	30027	61	298754	1520	1517
34	 510	 2	 2	16882	55	89794	1199	1199
