766	 356	 1	 1	58214	60	345	2	2	0	0	0	0
464	 147	 4	 3	50210	47	108328	5895	3532	0	0	0	0
635	 291	 37	 6	41705	488	379695	32373	2536	0	0	0	0
381	 196	 32	 18	22404	258	1205385	268673	80861	0	0	0	0
635	 291	 37	 6	41705	488	619696	54455	3090	0	0	0	0
820	 415	 155	 50	51730	2071	219229	24688	1895	0	0	0	0
842	 409	 7	 2	50398	59	79338	10348	4598	0	0	0	0
681	 329	 102	 49	34350	1304	401701	42984	39502	0	0	0	0
538	 280	 31	 10	29476	432	696548	66449	11184	0	0	0	0
414	 197	 99	 40	24044	1485	229683	10307	15887	0	0	0	0
526	 247	 93	 27	26630	904	11235	3656	190	0	0	0	0
580	 264	 18	 1	37970	238	353723	24113	463	0	0	0	0
425	 219	 3	 1	23310	50	62090	4515	2257	0	0	0	0
108	 55	 65	 25	12792	537	1157805	327065	26283	0	0	0	0
772	 340	 22	 1	46335	197	2065750	178161	3203	0	0	0	0
879	 417	 6	 2	56610	128	292267	5692	1203	0	0	0	0
878	 444	 0	 0	73072	0	0	0	0	0	0	0	0
866	 449	 7	 1	57410	139	274241	15053	3045	0	0	0	0
470	 224	 30	 11	32357	352	550104	56219	10918	0	0	0	0
832	 373	 38	 14	71798	396	164450	30170	1149	0	0	0	0
624	 314	 4	 3	51448	63	116853	5225	4158	0	0	0	0
832	 373	 38	 14	71798	422	283155	53987	1747	0	0	0	0
801	 418	 20	 6	66325	216	147087	18676	6022	0	0	0	0
832	 373	 38	 14	71798	420	433980	81029	2753	0	0	0	0
665	 254	 46	 23	32254	412	380716	66520	3393	0	0	0	0
744	 393	 18	 4	58849	281	389441	23578	3112	0	0	0	0
605	 323	 50	 34	35156	846	104300	7728	3374	0	0	0	0
434	 230	 0	 0	21095	0	0	0	0	0	0	0	0
640	 319	 8	 0	36956	139	198870	16820	0	0	0	0	0
700	 342	 23	 4	37357	179	299660	51399	6716	0	0	0	0
714	 337	 103	 39	37662	1578	334714	13458	11275	0	0	0	0
576	 271	 69	 15	28064	435	104609	35176	4572	0	0	0	0
243	 107	 40	 30	20225	793	79745	5660	5669	0	0	0	0
832	 373	 37	 13	71798	382	466928	88388	2628	0	0	0	0
326	 126	 39	 6	19589	371	423746	66521	4011	0	0	0	0
779	 379	 155	 58	43221	2172	424574	73322	9865	0	0	0	0
429	 212	 67	 22	28487	779	671725	96156	18362	0	0	0	0
875	 378	 6	 1	61905	163	312020	16506	3349	0	0	0	0
565	 282	 6	 1	36450	113	196221	2744	124	0	0	0	0
832	 373	 37	 12	71798	378	410858	81927	2426	0	0	0	0
490	 249	 129	 34	30404	1216	651413	97074	14750	0	0	0	0
276	 158	 58	 36	19504	572	353423	95215	941	0	0	0	0
330	 201	 110	 57	23509	1247	735499	185506	168492	0	0	0	0
514	 254	 2	 6	24769	30	12137	8	3846	0	0	0	0
592	 281	 97	 38	43913	1331	991413	59625	16753	0	0	0	0
917	 427	 21	 6	73021	381	419666	29620	6991	0	0	0	0
691	 324	 3	 0	31488	23	28181	6501	0	0	0	0	0
889	 403	 93	 27	74814	1144	616563	94215	14739	0	0	0	0
729	 376	 5	 5	58568	62	3620	35	20	0	0	0	0
142	 80	 34	 12	14720	329	68815	414	222	0	0	0	0
189	 82	 41	 37	14324	511	424228	18055	15296	0	0	0	0
460	 217	 13	 10	36139	158	65083	2842	14018	0	0	0	0
735	 369	 9	 5	60689	70	187032	17010	2696	0	0	0	0
821	 364	 0	 0	54034	0	0	0	0	0	0	0	0
592	 281	 34	 18	43913	301	147664	6898	18195	0	0	0	0
249	 142	 14	 6	19472	136	289561	14332	5905	0	0	0	0
775	 361	 114	 39	47883	1124	44606	14889	1015	0	0	0	0
608	 340	 44	 32	32382	622	491358	80761	5722	0	0	0	0
908	 361	 0	 0	52608	0	0	0	0	0	0	0	0
130	 81	 88	 48	13811	831	818147	240278	213214	0	0	0	0
806	 349	 21	 3	65536	439	342317	14214	668	0	0	0	0
524	 254	 5	 1	34720	67	94277	8148	2327	0	0	0	0
801	 413	 202	 63	69421	2768	80685	14980	1397	0	0	0	0
930	 388	 118	 48	48612	1683	958907	329603	23733	0	0	0	0
165	 85	 41	 35	14126	465	151378	9784	9570	0	0	0	0
756	 331	 129	 44	45386	1683	15961	2838	238	0	0	0	0
810	 365	 0	 0	69841	0	0	0	0	0	0	0	0
267	 132	 23	 10	22046	268	375965	42463	14715	0	0	0	0
780	 390	 5	 1	47640	178	253374	2515	121	0	0	0	0
744	 393	 18	 4	58849	281	402958	23992	3112	0	0	0	0
762	 386	 84	 27	59060	945	584889	89129	14338	0	0	0	0
539	 249	 118	 20	50515	1116	18153	2474	120	0	0	0	0
676	 336	 177	 72	33475	2546	306539	53027	9066	0	0	0	0
578	 224	 51	 9	34195	651	47250	5770	32	0	0	0	0
519	 251	 85	 19	37304	896	198366	77548	249	0	0	0	0
873	 418	 16	 2	57285	119	111357	16186	4042	0	0	0	0
635	 291	 37	 6	41705	488	359787	30343	2411	0	0	0	0
759	 363	 29	 10	55055	352	1157	80	28	0	0	0	0
533	 258	 5	 1	40899	67	82315	7113	2031	0	0	0	0
341	 192	 45	 30	23871	374	226610	98571	6878	0	0	0	0
500	 240	 142	 64	31127	1815	26867	7956	1518	0	0	0	0
526	 244	 17	 6	36310	144	442463	96529	6113	0	0	0	0
592	 281	 39	 16	43913	283	4667760	89332	596841	0	0	0	0
280	 161	 5	 3	14766	34	103106	17988	145	0	0	0	0
27	 20	 14	 11	9886	146	33989	5926	2920	0	0	0	0
797	 364	 20	 2	54343	435	423098	16417	215	0	0	0	0
635	 291	 37	 6	41705	488	383866	32434	2520	0	0	0	0
832	 373	 40	 15	71798	443	461345	87532	2674	0	0	0	0
478	 231	 2	 0	33793	10	10660	2132	0	0	0	0	0
628	 331	 63	 21	51508	517	118607	14219	10722	0	0	0	0
426	 153	 95	 25	25027	1667	266043	26460	3293	0	0	0	0
832	 373	 38	 14	71798	419	482267	93013	2906	0	0	0	0
576	 272	 95	 30	30549	1043	10422	2630	186	0	0	0	0
832	 373	 38	 13	71798	437	444563	83617	2948	0	0	0	0
288	 150	 11	 3	21705	138	273739	10173	2109	0	0	0	0
799	 364	 29	 6	69872	412	440188	25937	2457	0	0	0	0
93	 72	 42	 29	11979	513	450821	97982	2339	0	0	0	0
832	 373	 38	 14	71798	423	474202	92345	2912	0	0	0	0
10	 11	 2	 7	8935	27	2907	110	838	0	0	0	0
832	 373	 38	 14	71798	406	431254	84174	2674	0	0	0	0
508	 247	 3	 1	25652	86	153314	3306	1105	0	0	0	0
832	 373	 38	 14	71798	418	439507	87324	2667	0	0	0	0
495	 263	 30	 23	29461	323	269140	29871	12909	0	0	0	0
878	 444	 0	 0	73072	0	0	0	0	0	0	0	0
811	 387	 40	 8	53843	604	2974	196	30	0	0	0	0
492	 187	 7	 3	30027	61	305912	6731	87256	0	0	0	0
571	 229	 20	 2	29963	363	289665	12139	353	0	0	0	0
