811	 367	 38	 11	53511	281	25685	4301	2824	15	11	100	46
1083	 405	 47	 9	69409	506	705702	121918	10894	9	4	8786	4198
752	 272	 149	 25	45486	1307	32781	5143	93	13	9	27	16
554	 320	 54	 31	22857	535	473502	101871	1274	22	24	233	132
811	 367	 36	 8	53511	264	10009	1272	1119	11	8	53	12
595	 317	 3	 9	24775	31	2305	84	138	1	8	16	125
674	 270	 21	 8	30494	154	45868	4008	550	12	7	402	179
325	 136	 117	 56	18676	1083	1081020	70897	21546	40	45	1650	1370
668	 344	 55	 17	29424	518	87788	1420	712	16	13	53	44
742	 375	 101	 51	32906	1033	508428	76960	3597	38	40	309	181
998	 431	 28	 3	55770	310	291200	14870	5144	2	2	1057	1057
320	 116	 77	 53	17188	680	113487	18281	14269	27	47	1569	1654
1026	 436	 60	 6	53055	768	7193	871	42	4	2	28	25
1026	 436	 49	 6	53055	676	35104	4974	14	2	1	2	1
