134	 760	 2	 1	53511	281	25685	18	17
130	 777	 2	 1	69409	506	705702	1144	1143
64	 732	 5	 8	45486	1307	32781	8	31
61	 566	 12	 10	22857	535	473502	768	1548
134	 760	 2	 1	53511	264	10009	6	5
40	 632	 2	 1	24775	31	2305	18	17
154	 846	 4	 2	30494	154	45868	25	23
62	 542	 14	 25	18676	1083	1081020	56	4422
168	 1071	 35	 26	29424	518	87788	162	779
86	 692	 16	 18	32906	1033	508428	758	1423
153	 993	 4	 1	55770	310	291200	221	218
55	 474	 15	 20	17188	680	113487	962	7145
138	 1210	 7	 3	53055	768	7193	10	5
138	 1210	 3	 1	53055	676	35104	4	2
