ah.creativecodeapps.tiempo.apk	0.0012	0.0005	0.9983	0.0016	0.0007	0.9977	0.2267	0.36	0.3733	0.04	0.0005	0.0017	0.0127	0.0055	0	0	0	0	0	0	0	0	0	0.0109	0	0	0	0	0	0.0011	0	0	0.0044	0	0	0.9739	0	0	0	0	0	0	0	0	0	0	0	0.0098	0	0.0101	0.8719	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0.0452	0	0	0	0.0603	0.0021	0.0121	0.02	0.4067	0.3	0.1667	0.1067	0.0445	0.0091	0.0821	0.4287	0.0217	0.0696	0.0114	0.2155	0.0239	0.0935	0
air.bahraniapps.expressivecomiccreator.apk	0.002	0.0101	0.9879	0.0016	0.0057	0.9928	0.2535	0.3099	0.3803	0.0563	0.0007	0.0017	0.0149	0.0069	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.0141	0	0	0	0.001	0	0.008	0	0	0	0	0.9729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.878	0	0.0131	0.0153	0	0	0	0	0	0	0.0523	0	0	0.0392	0	0	0	0	0	0	0	0.0022	0	0.0026	0.0135	0.0234	0.5205	0.2339	0.1345	0.0877	0.0433	0.0111	0.0699	0.374	0.0377	0.1054	0.0111	0.0522	0.1665	0.1287	0
air.com.adobe.connectpro.apk	0.0069	0.0577	0.9354	0.0046	0.0395	0.956	0.3636	0.2727	0.3182	0.0455	0.0004	0.0009	0.0195	0.006	0	0	0	0	0	0	0	0	0	0	0	0.9259	0	0	0	0	0.0139	0.0347	0	0	0	0	0	0	0	0	0	0.0255	0	0	0	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0	0	0	0	0	0.0152	0	0.0682	0	0	0	0	0	0	0	0	0	0	0.0985	0.7955	0	0	0.0076	0	0.0036	0.0252	0.0125	0.675	0.15	0.0875	0.075	0.0197	0.0018	0.0269	0.4462	0.052	0.0556	0.0179	0.0215	0.2384	0.1201	0
air.com.flaxbin.chat.apk	0.0044	0.0509	0.9447	0.0031	0.0162	0.9806	0.4	0.26	0.28	0.06	0.0008	0.0023	0.0221	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108	0.9717	0	0	0	0	0	0	0	0	0	0.0027	0	0.0148	0	0	0	0	0	0	0	0	0.0394	0	0.0157	0	0	0	0	0	0	0.874	0	0	0.0499	0	0	0	0	0	0	0	0	0	0.0184	0	0.0026	0	0	0	0	0.0037	0.0209	0.0242	0.6774	0.129	0.1048	0.0645	0.0157	0.0128	0.0685	0.3837	0.0514	0.0785	0.0143	0.0642	0.1926	0.1184	0
air.fisherprice.com.animalsounds.apk	0.0109	0.0204	0.9687	0.0062	0.004	0.9898	0.3636	0.2727	0.3182	0.0455	0.0006	0.0013	0.0182	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0.9524	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374	0	0	0	0	0	0	0	0.0092	0	0	0	0	0	0	0	0	0	0.0642	0.0092	0	0	0	0	0.7798	0	0	0.1193	0	0	0	0	0	0	0	0.0183	0.0046	0.0335	0.0135	0.6892	0.1351	0.0946	0.0676	0.0203	0.0018	0.0221	0.5812	0.0517	0.0646	0.0185	0.0221	0.1052	0.1125	0
amazing.guidespiderman.apk	0.0052	0.0694	0.9254	0.0015	0.0522	0.9463	0.4828	0.1379	0.2759	0.1034	0.0006	0.0017	0.0202	0.0097	0	0	0.9817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0092	0.0034	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0214	0	0.0381	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0.0405	0	0.8857	0	0	0.0024	0	0.0019	0.0184	0.0361	0.7229	0.0964	0.0843	0.0602	0.0439	0.0125	0.094	0.599	0.01	0.089	0.0075	0.0451	0.0113	0.0877	0
an.SpanishTranslate.apk	0.0095	0.3344	0.6561	0.0034	0.2053	0.7913	0.3684	0.1579	0.3684	0.1053	0.0007	0.0019	0.0227	0.0121	0	0	0	0.0076	0	0	0	0	0	0	0.0057	0	0.9868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283	0.8869	0	0	0	0	0	0	0	0	0	0	0	0.0177	0	0	0.0035	0	0	0.0459	0.0177	0	0	0	0.0025	0.0256	0.0339	0.6441	0.1356	0.1017	0.0847	0.0185	0.0017	0.0755	0.4748	0.0101	0.0688	0.0101	0.0604	0.2265	0.0537	0
appinventor.ai_app_jcstudio.FodaSe.apk	0.0321	0.0633	0.9046	0.0109	0.0762	0.9129	0.5652	0.1739	0.1739	0.087	0.0007	0.0013	0.0228	0.0115	0	0	0	0.0072	0	0.9855	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043	0	0	0	0.0172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0.0374	0	0	0	0	0	0	0	0	0.0144	0	0	0.0345	0	0.8908	0	0.0016	0.0228	0.0426	0.617	0.1702	0.0638	0.1064	0.0159	0.0145	0.0667	0.6609	0.0043	0.0609	0.0087	0.0188	0.0464	0.1029	0
app.qrcode.apk	0.0075	0.2373	0.7552	0.005	0.1596	0.8354	0.3529	0.2	0.4	0.0471	0.0006	0.0025	0.0176	0.0067	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0.9651	0	0	0	0	0	0.007	0	0	0	0	0.0023	0	0	0.0023	0.0128	0	0	0	0	0.0123	0	0	0	0.0184	0.8466	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0	0	0	0	0	0	0	0.0675	0	0	0.0491	0.0035	0.0173	0.0237	0.6272	0.1124	0.1834	0.0533	0.0757	0.0012	0.0828	0.4544	0.0178	0.0888	0.0118	0.0189	0.1834	0.0651	0
arproductions.andrew.worklog.apk	0.0308	0	0.9692	0.0195	0	0.9805	0.4909	0.2182	0.2545	0.0364	0.0011	0.0028	0.0193	0.0096	0.0096	0	0	0	0	0	0.9726	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096	0	0	0	0	0.0414	0	0	0	0	0	0	0	0	0.8812	0	0.0028	0	0	0	0	0	0	0	0.0138	0	0.0166	0	0	0.0442	0	0	0	0	0	0	0	0	0	0.0032	0.027	0.0165	0.686	0.124	0.0992	0.0744	0.0314	0.001	0.0648	0.4028	0.0049	0.1631	0	0.1758	0.0481	0.1081	0
au.com.penguinapps.android.beautifulcontractiontimer.app.apk	0.032	0.1424	0.8255	0.0125	0.1814	0.806	0.4375	0.1562	0.2812	0.125	0.0006	0.0018	0.0192	0.009	0	0.9846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0.0385	0	0	0	0	0	0.044	0	0	0	0	0	0	0.0137	0	0.0165	0.8846	0	0	0.0017	0.017	0.0597	0.5672	0.1791	0.1194	0.0746	0.0406	0.0145	0.0508	0.5704	0.0044	0.0856	0	0.0174	0.0537	0.1626	0
au.com.realestate.app.apk	0.1169	0.3284	0.5546	0.0893	0.2592	0.6515	0.4026	0.2727	0.2727	0.0519	0.0007	0.0024	0.0151	0.0069	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0.01	0	0	0	0	0	0	0.9692	0	0	0.0063	0	0.01	0	0	0	0	0	0	0	0	0.0356	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0514	0.004	0	0	0.8814	0	0.0119	0.004	0	0.002	0.0156	0.0268	0.5503	0.1611	0.1342	0.1275	0.0404	0.0088	0.1141	0.5628	0.007	0.1176	0.0088	0.0158	0.0395	0.0852	0
audio.virtualizer.equalizer.bassbooster.musicplayer.apk	0	0.246	0.754	0	0.1707	0.8293	0.38	0.24	0.34	0.04	0.0005	0.0025	0.0169	0.0077	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0.0136	0.9773	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0.0644	0	0	0	0	0.0099	0.0149	0	0.8465	0	0	0	0	0	0	0	0.0099	0.0545	0	0	0	0	0	0	0	0.0041	0.0255	0.0189	0.6226	0.1415	0.1509	0.066	0.0165	0.0015	0.0719	0.4835	0.006	0.0404	0	0.2156	0.015	0.1497	0
baby.com.AwesomeToys.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.BabyBigMouth.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
baby.com.BubblePOPKids.apk	0.0069	0	0.9931	0.0019	0	0.9981	0.4194	0.2258	0.2903	0.0645	0.0007	0.002	0.0207	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012	0	0.0099	0.0062	0	0	0	0.9802	0	0	0	0.9032	0	0	0	0	0.0372	0	0	0	0	0	0.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323	0.0025	0.0124	0	0	0	0	0.0018	0.019	0.0282	0.7042	0.1127	0.0845	0.0704	0.0242	0.0134	0.078	0.5094	0.0054	0.086	0.0081	0.0618	0.0793	0.1344	0
