fr.easytouseapps.calcloan	0.9507	0	0	0	0	0	0.0379	0	0.0113	0.0746	0	0.9254	0.0507	0	0.9493	0.0114	0	0.9886	0.0114	0	0.9886	0.7143	0	0.2857	0	0.9702	0	0.0298	0
com.katz.rexall	0.9944	0.0001	0	0.0055	0	0	0	0	0	0.0085	0.0256	0.9658	0.0039	0.0118	0.9843	0	0.0001	0.9999	0	0.0001	0.9999	0.4286	0	0.5714	0	0.9897	0	0.0103	0
cz.lidovky.mobil	0	0	0	0	0	0	0.9976	0	0.0024	0.25	0	0.75	0.2571	0	0.7429	0.0051	0	0.9949	0.0051	0	0.9949	1	0	0	0	1	0	0	0
com.nilhcem.hostseditor	0	0	0	0.6666	0.2276	0.0068	0.0216	0.0421	0.0353	0.1087	0.4348	0.4565	0.1163	0.4419	0.4419	0.0422	0.2699	0.688	0.0422	0.2699	0.688	0	0	0	0	0	0	0	0
com.gerbes.mobile	0.008	0	0	0.5517	0.4398	0	0	0.0005	0	0.004	0.6426	0.3534	0.0016	0.6519	0.3465	0.0004	0.4889	0.5107	0.0004	0.4889	0.5107	0	0	0	1	0	0	0	1
de.androidsolutions.bistum.wbg	0.0028	0	0	0.9179	0.0764	0.0001	0.0021	0.0004	0.0004	0.0431	0.3966	0.5603	0.025	0.4321	0.5429	0.0008	0.0806	0.9186	0.0008	0.0806	0.9186	1	0	0	0	1	0	0	0
com.dooblou.WiFiFileExplorer	0.757	0	0	0.0406	0.0422	0	0.144	0	0.0162	0.0155	0.0206	0.9639	0.0159	0.0278	0.9563	0.0162	0.0422	0.9416	0.0163	0.0423	0.9415	0.6	0	0.4	0	0.9862	0	0.0138	0
de.appinside.devcenter.yltw63	0.0451	0	0	0.3544	0.5888	0.0002	0.0059	0.0023	0.0033	0.0769	0.263	0.66	0.0597	0.2963	0.644	0.0057	0.5793	0.4149	0.0057	0.5793	0.4149	0.7143	0	0	0.2857	0.9655	0	0	0.0345
de.androidsolutions.bistum.wbg	0.0014	0	0	0.9451	0.0516	0.0001	0.0013	0.0002	0.0002	0.045	0.3964	0.5586	0.0228	0.4411	0.5361	0.0009	0.062	0.9371	0.0009	0.0621	0.937	1	0	0	0	1	0	0	0
com.socrative.teacher	0	0	0	0	0	0	0.993	0	0.007	0.1333	0	0.8667	0.1935	0	0.8065	0.0095	0	0.9905	0.0095	0	0.9905	1	0	0	0	1	0	0	0
com.triveous.recorder	0.04	0.0002	0	0.3421	0.5925	0	0.0149	0.0019	0.0084	0.0661	0.4545	0.4793	0.0625	0.5391	0.3984	0.0142	0.5886	0.3972	0.0142	0.5886	0.3972	0.6	0	0	0.4	0.4211	0	0	0.5789
de.androidsolutions.bistum.wbg	0	0	0	0.9307	0.0642	0	0.0051	0	0	0.0323	0.3548	0.6129	0.027	0.4459	0.527	0.003	0.1066	0.8904	0.003	0.1066	0.8904	0	0	0	0	0	0	0	0
com.dooblou.WiFiFileExplorer	0.7518	0	0	0.0414	0.0431	0	0.1471	0	0.0166	0.0155	0.0206	0.9639	0.0159	0.0278	0.9563	0.0166	0.0431	0.9403	0.0166	0.0432	0.9402	0.6	0	0.4	0	0.9901	0	0.0099	0
de.appinside.devcenter.yltw63	0.0679	0	0	0.3774	0.5254	0.0004	0.0172	0.0041	0.0076	0.0907	0.3241	0.5852	0.0751	0.3623	0.5626	0.01	0.5245	0.4655	0.01	0.5245	0.4655	0.5	0	0.3	0.2	0.9402	0	0.0279	0.0319
de.androidsolutions.bistum.wbg	0.0021	0	0	0.9236	0.0723	0	0.0016	0.0002	0.0002	0.0342	0.3932	0.5726	0.0175	0.4386	0.5439	0.0003	0.0751	0.9245	0.0003	0.0752	0.9245	1	0	0	0	1	0	0	0
