401	 1164	 0	 0	58214	60	345	0	0
124	 758	 8	 4	41705	488	379695	5765	13151
124	 758	 8	 4	41705	488	619696	4696	15955
133	 854	 0	 0	50398	59	79338	0	0
62	 628	 2	 1	29476	432	696548	1057	1056
74	 720	 15	 20	26630	904	11235	24	361
84	 614	 2	 1	23310	50	62090	1130	1129
87	 728	 2	 1	46335	197	2065750	715	714
259	 1079	 0	 0	73072	0	0	0	0
119	 675	 6	 3	32357	352	550104	3034	2008
96	 766	 3	 2	51448	63	116853	2091	13545
294	 1186	 4	 1	66325	216	147087	991	988
98	 604	 25	 7	32254	412	380949	676	604
78	 670	 13	 8	35156	846	104300	165	176
70	 658	 2	 1	36956	139	198870	905	904
53	 733	 10	 28	37662	1578	334714	37	361
75	 514	 29	 32	20225	793	79745	823	1368
52	 515	 4	 3	19589	371	423746	3234	18551
76	 614	 6	 3	28487	779	671725	3435	17039
134	 854	 2	 1	36450	113	196221	881	880
100	 740	 6	 7	30404	1216	651413	3807	18564
84	 527	 29	 21	23509	1247	735675	1380	2298
107	 815	 12	 7	43913	1331	991413	1280	8199
120	 748	 2	 1	31488	23	28181	1085	1084
113	 778	 2	 1	58568	62	3620	5	4
24	 420	 9	 12	14324	511	424228	793	8045
136	 906	 4	 1	60689	70	187032	2168	599
107	 815	 10	 6	43913	301	147664	19	15
91	 817	 17	 31	47883	1124	44606	31	654
90	 742	 0	 0	52608	0	0	0	0
133	 911	 4	 1	65536	439	342317	126	123
139	 850	 10	 37	69421	2768	80685	16	319
25	 407	 10	 12	14126	465	151378	158	4280
91	 936	 0	 0	69841	0	0	0	0
75	 818	 0	 0	47640	178	253374	0	0
96	 860	 9	 8	59060	945	584889	3855	15528
134	 876	 48	 50	33475	2546	306579	2322	9894
132	 772	 18	 21	37304	896	198366	244	5082
124	 758	 8	 4	41705	488	359787	5304	12265
111	 697	 2	 1	40899	67	82315	1018	1017
48	 665	 25	 38	31127	1815	26867	89	288
107	 815	 10	 6	43913	283	4667760	31	27
40	 416	 4	 14	9886	146	33989	80	1670
124	 758	 8	 4	41705	488	383866	5859	13355
379	 705	 2	 1	33793	10	10660	1067	1066
53	 510	 26	 28	25027	1667	266043	1132	3326
49	 686	 4	 16	30549	1043	10422	7	186
82	 608	 5	 2	21705	138	273739	3078	2054
27	 408	 13	 9	11979	513	450821	770	1324
19	 313	 2	 1	8935	27	2907	3	2
85	 619	 2	 1	25652	86	153314	1108	1107
61	 620	 6	 4	29461	323	269140	1939	2062
284	 1124	 1	 0	53843	604	2974	1	0
74	 631	 3	 1	29963	363	289665	177	175
180	 598	 0	 0	50210	47	108328	0	0
53	 516	 12	 10	22404	258	1205391	33	15192
207	 990	 16	 16	51730	2071	219231	61	103
139	 926	 36	 41	34350	1304	401877	2829	11313
123	 797	 40	 47	24044	1485	229683	1163	23978
75	 835	 2	 1	37970	238	353723	1068	1067
36	 488	 16	 31	12792	537	1157805	304	25786
131	 957	 3	 1	56610	128	292267	1099	1097
133	 1039	 2	 1	57410	139	274241	1016	1015
215	 938	 7	 4	71798	396	164450	1038	690
215	 938	 7	 4	71798	422	283155	1787	1183
215	 938	 7	 4	71798	420	433980	2857	1897
140	 953	 4	 2	58849	281	389441	2064	2062
66	 577	 0	 0	21095	0	0	0	0
87	 810	 4	 2	37357	179	299660	2252	2250
75	 677	 17	 15	28064	435	104609	80	256
215	 938	 5	 2	71798	382	466928	2789	1856
158	 996	 50	 79	43221	2172	424574	1147	21304
224	 1053	 2	 1	61905	163	312020	1118	1117
215	 938	 5	 2	71798	378	410858	2626	1731
102	 553	 8	 7	19504	572	353423	12	825
40	 633	 2	 3	24769	30	12137	5	1553
162	 869	 6	 3	73021	381	419666	3084	6804
158	 1012	 15	 8	74814	1144	616563	2773	13861
38	 457	 7	 10	14720	329	68815	23	32
81	 566	 3	 1	36139	158	65083	393	391
286	 1121	 0	 0	54034	0	0	0	0
53	 682	 3	 3	19472	136	289561	2058	74733
94	 681	 13	 10	32382	622	491358	902	1681
30	 481	 10	 20	13811	831	818217	424	1820
112	 695	 2	 1	34720	67	94277	1166	1165
284	 745	 48	 44	48612	1683	958907	1445	18142
51	 670	 23	 27	45386	1683	15961	53	315
47	 487	 2	 1	22046	268	375965	859	858
140	 953	 4	 2	58849	281	402958	2064	2062
92	 704	 7	 11	50515	1116	18153	16	42
100	 653	 4	 2	34195	651	47250	6	17
205	 1096	 2	 0	57285	119	111357	1010	0
150	 886	 6	 3	55055	352	1157	10	11
85	 643	 12	 15	23871	374	226688	1009	1222
107	 782	 5	 0	36310	144	442463	3282	0
27	 450	 2	 2	14766	34	103106	66	128
121	 900	 3	 1	54343	435	423098	121	119
215	 938	 7	 4	71798	443	461345	2932	1945
88	 765	 5	 9	51508	517	118607	139	143
215	 938	 7	 4	71798	419	482267	3107	2057
215	 938	 7	 4	71798	437	444563	2905	1927
207	 899	 9	 3	69872	412	440188	3772	1897
215	 938	 7	 4	71798	423	474202	2959	1945
215	 938	 7	 4	71798	406	431254	2657	1765
215	 938	 7	 4	71798	418	439507	2854	1884
259	 1079	 0	 0	73072	0	0	0	0
124	 689	 5	 2	30027	61	305912	1591	1588
34	 510	 2	 2	16882	55	82401	1100	1100
