1EE4DEA345455F909E5CA993C7542C3118A0B39FCE4B6702FA1A4987AB1783B4.apk	2015-12-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2DDB44E64D398CCE25E7AEBC1B28BD5C5A0A79FCEBEB0C71D48B1BF76C21FE57.apk	2015-12-25	0	0	0	0	0	0	0.6572	0	0.3428	0.3158	0	0.6842	0.3529	0	0.6471	0.3436	0	0.6564	0.3436	0	0.6564	1	0	0	0	1	0	0	0
30BFC186C08EEA22F92F5755AEC29B273D04B19A99F157262F2424866E071E05.apk	2015-12-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317EECD320309CF080D7B8182C4E1E0F0E4A66F2D37FCE6675DA08501A5C1C7F.apk	2015-01-03	0	0	0	0.4142	0.5757	0	0.0084	0	0.0017	0.0886	0.2785	0.6329	0.0639	0.4247	0.5114	0.0018	0.5755	0.4227	0.0018	0.5755	0.4227	1	0	0	0	1	0	0	0
392286796454956D5254902AF02322A4283BCE2E43861365638E088761F6FF8B.apk	2015-12-29	0	0	0	0	0	0	0.8141	0	0.1859	0.3256	0	0.6744	0.3821	0	0.6179	0.1976	0	0.8024	0.1976	0	0.8024	1	0	0	0	1	0	0	0
3E368BEA3C7A15D0C044F0005B1786A617D71651C5038FC3C11B21CD4BEC2CA1.apk	2015-08-01	0	0	0	0.5429	0.3933	0.0002	0.0527	0.0047	0.0062	0.0995	0.3613	0.5393	0.0881	0.4403	0.4716	0.0069	0.3983	0.5948	0.0069	0.3983	0.5947	0.8571	0	0.1429	0	0.9906	0	0.0094	0
42FD381AAB9DBBEB91AA896C71F9C46BEE795A0840698F7F6CE03017EC46837D.apk	2015-03-02	0	0	0	0.752	0.044	0	0.1876	0.0082	0.0082	0.1	0.1	0.8	0.06	0.2	0.74	0.0121	0.0633	0.9246	0.0121	0.0633	0.9246	1	0	0	0	1	0	0	0
4E79EBEF07990ED39BF54B85C145DFB0FDB05F534EFA6C39FFD72E400E417408.apk	2015-08-02	0	0	0	0.4691	0.5113	0	0.0156	0.0011	0.0029	0.1053	0.3474	0.5474	0.0851	0.4468	0.4681	0.0031	0.5122	0.4847	0.0031	0.5122	0.4847	0.8571	0	0.1429	0	0.9907	0	0.0093	0
4F061386E92965DA82EE791BC08EBBB632232DA33C7761670A408B2C76E8431B.apk	2015-01-01	0	0	0	0.6366	0.3615	0	0.0009	0.0009	0.0001	0.0082	0.4098	0.582	0.0209	0.5545	0.4246	0.0001	0.3628	0.6371	0.0001	0.3628	0.6371	1	0	0	0	1	0	0	0
79C6B471B31D1FD29836D2A2A5BB03E52AE7508DE1F72407F8E9A7A5A5901D6A.apk	2015-02-13	0.0004	0.0011	0	0.6914	0.3071	0	0	0	0	0	0.5154	0.4846	0	0.5607	0.4393	0	0.3179	0.6821	0	0.318	0.682	0.3333	0.1667	0.3333	0.1667	0.783	0.0317	0.0964	0.0888
96D3B6EAD6ED2EE0665171BDEB287058D5F8D13EB5A93C74AA638492C3D590B3.apk	2015-07-14	0	0	0	0.2398	0.0164	0	0.5357	0.0588	0.1492	0.1231	0.1077	0.7692	0.1111	0.2278	0.6611	0.1485	0.0781	0.7734	0.1485	0.0781	0.7734	1	0	0	0	1	0	0	0
AFB24F52B90D63269A25DE59EC751C6D6C6636ECB48095C990422238D3EC6DDC.apk	2015-02-22	0	0	0	0.3632	0.6368	0	0	0	0	0	0.4286	0.5714	0	0.5238	0.4762	0	0.6362	0.3638	0	0.6363	0.3637	0.375	0	0.625	0	0.9466	0	0.0534	0
B40D150823C6235254C8D934070CC9E3F7E0360A860ABD3BCAF60A6C57A89B8F.apk	2015-07-20	0	0	0	0.91	0.0615	0	0.0233	0.0028	0.0024	0.1017	0.2373	0.661	0.0854	0.3293	0.5854	0.0054	0.0742	0.9204	0.0054	0.0742	0.9204	1	0	0	0	1	0	0	0
B88418D66E6DB0CA4B33D6622BCEF9003CFB352F1ADB1403CC7444051E4CA507.apk	2015-01-04	0	0	0	0.0833	0	0	0.8333	0.0833	0	0.2222	0.1111	0.6667	0.3333	0.0833	0.5833	0.0133	0.0833	0.9033	0.0133	0.0833	0.9033	0	0	0	1	0	0	0	1
BC12C7480F5B1090AED2D1E46C5A8D4D88CD491631DF31EDD883EE20D53FA041.apk	2015-12-29	0	0	0	0.7876	0.0344	0	0.1514	0	0.0266	0.1515	0.0909	0.7576	0.1776	0.1869	0.6355	0.0293	0.0371	0.9335	0.0293	0.0371	0.9335	1	0	0	0	1	0	0	0
D087A2CCADF25AAC6DA67F7441E44F1780557FBCD4365C197EA4CF616B67F892.apk	2015-08-01	0	0	0	0.4591	0.5198	0	0.0174	0.001	0.0028	0.1053	0.3474	0.5474	0.0857	0.4481	0.4662	0.003	0.5205	0.4765	0.003	0.5205	0.4765	0.8571	0	0.1429	0	0.9921	0	0.0079	0
D8A31940FDBC6872A34B91EE43C6309F757BA0D57A60618C8252BD95233A7369.apk	2015-02-24	0	0	0	0.0816	0.0485	0	0.6184	0.0266	0.2249	0.2799	0.2901	0.43	0.3995	0.2685	0.332	0.2262	0.0764	0.6974	0.2262	0.0764	0.6974	0.4	0	0.4667	0.1333	0.9199	0	0.023	0.057
