811	 367	 13	 2	53511	74	666	174	210	3	1	32	1
1083	 405	 47	 9	69409	506	634039	111031	9954	9	4	7896	3813
752	 272	 174	 35	45486	1933	63790	9774	290	19	17	60	68
554	 320	 55	 30	22857	542	488889	100439	1446	20	24	338	227
811	 367	 41	 9	53511	286	40527	6341	3879	14	9	222	40
595	 317	 4	 10	24775	34	4631	217	346	3	9	47	328
674	 270	 20	 8	30494	144	44210	3625	493	14	7	232	296
325	 136	 111	 53	18676	971	26461	1220	402	39	40	114	91
668	 344	 46	 17	29424	457	38442	2015	2047	11	12	104	103
742	 375	 67	 46	32906	737	374955	35947	4368	27	34	504	83
998	 431	 29	 3	55770	339	272227	14228	4677	2	2	976	976
320	 116	 70	 52	17188	662	214501	21214	13955	30	48	1837	1869
1026	 436	 90	 13	53055	1403	134443	17828	60	10	5	33	27
1026	 436	 68	 12	53055	1134	57525	7306	49	12	6	34	28
