38	 10	 14	 2	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 6	 
15	 2	 5	 1	 1	 
4	 0	 5	 0	 0	 
363	 0	 20	 0	 0	 
14	 17	 21	 2	 1	 
3	 0	 2	 0	 0	 
26427	 0	 265	 0	 0	 
44	 5	 10	 2	 1	 
11	 0	 0	 0	 0	 
19919	 0	 0	 0	 0	 
11	 2	 6	 2	 2	 
5	 0	 3	 2	 2	 
236	 0	 7	 8	 159	 
16	 5	 15	 2	 1	 
4	 0	 5	 0	 0	 
3978	 0	 488	 0	 0	 
5	 5	 7	 2	 1	 
3	 0	 3	 0	 0	 
5241	 0	 28	 0	 0	 
19	 14	 29	 5	 3	 
0	 1	 3	 3	 3	 
0	 21	 317	 1945	 3035	 
38	 10	 14	 2	 2	 
5	 0	 0	 0	 2	 
25	 0	 0	 0	 46	 
5	 5	 9	 1	 1	 
4	 0	 5	 0	 0	 
8775	 0	 146	 0	 0	 
5	 2	 3	 2	 1	 
2	 0	 0	 0	 0	 
175	 0	 0	 0	 0	 
31	 14	 19	 3	 2	 
2	 0	 4	 2	 2	 
18	 0	 10	 20	 63	 
69	 5	 4	 1	 1	 
3	 2	 0	 0	 0	 
2186	 4	 0	 0	 0	 
31	 14	 19	 3	 2	 
4	 0	 0	 2	 2	 
29	 0	 0	 14	 31	 
