134	 760	 2	 1	53511	74	666	3	2
62	 542	 13	 18	18676	971	26461	26	69
130	 777	 2	 1	69409	506	634039	1052	1051
168	 1071	 29	 19	29424	457	38434	239	2536
64	 732	 12	 15	45486	1933	63790	23	62
86	 692	 10	 9	32906	737	374955	755	1229
61	 566	 13	 11	22857	542	488889	774	1596
153	 993	 4	 1	55770	339	272227	166	163
134	 760	 2	 1	53511	286	40527	22	21
55	 474	 16	 21	17188	662	214501	864	5979
40	 632	 2	 1	24775	34	4631	43	42
138	 1210	 3	 2	53055	1403	134443	7	15
154	 846	 4	 2	30494	144	44210	10	8
138	 1210	 3	 1	53055	1134	57525	5	3
