134	 760	 2	 1	53511	202	9302	8	7
62	 542	 11	 16	18676	947	10510	16	50
130	 777	 2	 1	69409	506	644606	1047	1046
168	 1071	 25	 18	29424	430	13048	116	1920
64	 732	 5	 2	45486	869	8628	7	4
86	 692	 14	 16	32906	995	242890	271	586
61	 566	 12	 10	22857	537	462038	727	1584
153	 993	 4	 1	55770	316	283635	199	196
134	 760	 2	 1	53511	227	21984	14	13
55	 474	 16	 20	17188	664	181653	888	5441
40	 632	 2	 1	24775	34	4014	29	28
138	 1210	 3	 1	53055	447	4319	4	2
154	 846	 4	 2	30494	154	50412	23	21
138	 1210	 12	 8	53055	1205	113301	22	27
