669	 332	 25	 12	53511	202	9302	1525	1201	0	0	0	0
268	 143	 85	 55	18676	947	10510	500	320	0	0	0	0
868	 376	 39	 13	69409	506	644606	101447	11947	0	0	0	0
561	 298	 38	 18	29424	430	13048	937	1952	0	0	0	0
625	 281	 106	 20	45486	869	8628	1195	162	0	0	0	0
623	 331	 65	 45	32906	995	242890	33888	1426	0	0	0	0
466	 266	 44	 33	22857	537	462038	89258	2416	0	0	0	0
842	 403	 22	 5	55770	316	283635	10726	6589	0	0	0	0
669	 332	 30	 12	53511	227	21984	3084	2409	0	0	0	0
261	 125	 56	 54	17188	664	181653	12965	13550	0	0	0	0
516	 259	 3	 11	24775	34	4014	168	304	0	0	0	0
919	 406	 25	 5	53055	447	4319	461	30	0	0	0	0
509	 243	 16	 9	30494	154	50412	1874	612	0	0	0	0
919	 406	 65	 19	53055	1205	113301	13434	143	0	0	0	0
