com.arroyaapps.beautifulbotanicalgardens	2017-01-17	0.1187	0.0801	0.2299	0.0538	0.25	0.7778	0.0612	0.5497	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9938	1	1	0.025	0.0062	0	0	0.9259	0.9212	0.9524	0.9525	0	0	0	0	0.0741	0.0788	0.0476	0.0475	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wb.gc.xmxx.zxb.xm	2017-01-13	0.0968	0.0161	0.0784	0.0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8333	0.8461	0	0	0.1667	0.1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.mtstudio.anwopay	2017-01-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.arroyaapps.backyardwoodprojects	2017-01-18	0.1187	0.0801	0.23	0.0537	0.25	0.7778	0.0613	0.5502	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9939	1	1	0.025	0.0061	0	0	0.9259	0.9211	0.9524	0.9522	0	0	0	0	0.0741	0.0789	0.0476	0.0478	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.arroyaapps.bathroominteriordesigns	2017-01-15	0.1187	0.0801	0.2299	0.0537	0.25	0.7778	0.0613	0.5501	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9938	1	1	0.025	0.0062	0	0	0.9259	0.9211	0.9524	0.9524	0	0	0	0	0.0741	0.0789	0.0476	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.arroyaapps.awesomecheesecakeideas	2017-01-21	0.1187	0.0801	0.2299	0.0538	0.25	0.7778	0.0612	0.5498	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9938	1	1	0.025	0.0062	0	0	0.9259	0.9211	0.9524	0.9524	0	0	0	0	0.0741	0.0789	0.0476	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.arroyaapps.backyardwoodprojects	2017-01-18	0.1187	0.0801	0.2299	0.0538	0.25	0.7778	0.0612	0.5498	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9938	1	1	0.025	0.0062	0	0	0.9259	0.9211	0.9524	0.9524	0	0	0	0	0.0741	0.0789	0.0476	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.arroyaapps.apartmentdesignideas	2017-01-18	0.1187	0.0801	0.2299	0.0537	0.25	0.7778	0.0613	0.5503	0	0	0	0	0	0	0	0	0	0	0	0	0.975	0.9938	1	1	0.025	0.0062	0	0	0.9259	0.9209	0.9524	0.9523	0	0	0	0	0.0741	0.0791	0.0476	0.0477	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0.003	0.0014	0.0014	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.mozgame.fruitjourney	2017-01-14	0.1205	0	0.1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241	0.012	0.0079	0.0078	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
com.padyun.spring	2017-01-13	0.0976	0.0238	0.2423	0.0202	0.125	0.5135	0.0115	0.1569	0	0	0	0	0.0132	0.0002	0	0	0	0	0	0	0.9803	0.9998	0.9474	0.9966	0.0066	0.0001	0.0526	0.0034	0.8108	0.3568	0.8947	0.7113	0.027	0.0163	0	0	0.1081	0.0929	0.1053	0.2887	0.027	0.0168	0	0	0	0	0	0	0.027	0.517	0	0	0.0186	0.0295	0.0029	0.0337	0.8966	0.9834	0.1034	0.0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217	0.0006	0	0	0.8261	0.9639	0	0	0.1522	0.0356
