de.androidsolutions.bistum.wbg	0.0012	0	0	0.9405	0.0568	0.0001	0.0012	0.0002	0.0001	0.0442	0.3982	0.5575	0.0228	0.4335	0.5437	0.0003	0.0595	0.9401	0.0003	0.0596	0.9401	1	0	0	0	1	0	0	0
com.dooblou.WiFiFileExplorer	0.7789	0	0	0.0368	0.0383	0	0.1312	0	0.0147	0.0155	0.0206	0.9639	0.0159	0.0278	0.9563	0.0147	0.0383	0.947	0.0148	0.0384	0.9469	0.6	0	0.4	0	0.9785	0	0.0215	0
de.appinside.devcenter.yltw63	0.0234	0	0	0.3492	0.6187	0.0002	0.0045	0.0019	0.0022	0.0868	0.3711	0.5421	0.0553	0.4196	0.5251	0.0039	0.6144	0.3817	0.0039	0.6144	0.3817	0.6667	0	0	0.3333	0.8788	0	0	0.1212
de.androidsolutions.bistum.wbg	0.0016	0	0	0.9287	0.0678	0.0001	0.0015	0.0002	0.0001	0.0424	0.3729	0.5847	0.0244	0.4216	0.554	0.0003	0.0694	0.9303	0.0003	0.0694	0.9302	1	0	0	0	1	0	0	0
com.socrative.teacher	0	0	0	0	0	0	0.9871	0	0.0129	0.1176	0	0.8824	0.1765	0	0.8235	0.0226	0	0.9774	0.0226	0	0.9774	1	0	0	0	1	0	0	0
com.triveous.recorder	0.0085	0	0	0.3142	0.6683	0	0.0041	0.0006	0.0041	0.0394	0.5577	0.4028	0.043	0.6167	0.3404	0.0056	0.6669	0.3274	0.0056	0.6669	0.3274	0.6	0	0	0.4	0.5185	0	0	0.4815
com.jb.gokeyboard.theme.twkeyboardforhtconem8	0.959	0.0016	0	0	0	0	0.0222	0	0.0172	0.0598	0.0109	0.9293	0.0472	0.0062	0.9466	0.0174	0.0016	0.981	0.0174	0.0016	0.9809	0.7778	0	0.2222	0	0.9932	0	0.0068	0
com.erkanyilmaz.namazvakitleri	0	0	0	0	0	0	0.9112	0	0.0888	0.2895	0	0.7105	0.4578	0	0.5422	0.0894	0	0.9106	0.0894	0	0.9106	0.6667	0.3333	0	0	0.8498	0.1502	0	0
com.jb.gokeyboard.theme.twkeyboardforsonyxperiaz	0.959	0.0014	0	0	0	0	0.0221	0	0.0176	0.0598	0.0109	0.9293	0.0472	0.0062	0.9466	0.0178	0.0014	0.9808	0.0178	0.0014	0.9808	0.7778	0	0.2222	0	0.9948	0	0.0052	0
com.monsta.imagenscomfrasesdecarinho	0	0	0	0.7818	0.2	0	0.0182	0	0	0.0417	0.25	0.7083	0.0217	0.3261	0.6522	0.0001	0.2005	0.7995	0.0001	0.2042	0.7957	0	0	0	0	0	0	0	0
com.aob	0.9862	0	0	0.0006	0.0002	0	0.0107	0	0.0023	0.0879	0.0256	0.8864	0.0708	0.0142	0.915	0.0033	0.0004	0.9962	0.0033	0.0004	0.9962	0.5	0	0.5	0	0.9971	0	0.0029	0
com.seazon.fo	0	0	0	0.3225	0.0023	0.0022	0.5512	0.0021	0.1196	0.3191	0.0213	0.6596	0.3849	0.0481	0.5669	0.1224	0.0045	0.873	0.1224	0.0045	0.873	1	0	0	0	1	0	0	0
ru.evgajukov.mobile.circassian.activity	0.0363	0	0	0.5869	0.3654	0.0003	0.0053	0.0031	0.0027	0.1262	0.1845	0.6893	0.0798	0.4017	0.5185	0.0053	0.3695	0.6252	0.0053	0.3696	0.625	1	0	0	0	1	0	0	0
fi.android.takealot	0.0896	0	0	0.5344	0.3382	0	0.0138	0.0241	0	0.0105	0.5368	0.4526	0.0184	0.5521	0.4294	0.0001	0.3629	0.637	0.0001	0.3629	0.637	0	0	0	1	0	0	0	1
net.samham.electricity	0.743	0	0	0.0596	0.0368	0	0.1249	0	0.0357	0.0771	0.1622	0.7606	0.0676	0.2027	0.7297	0.036	0.0382	0.9258	0.0361	0.0384	0.9255	0.5	0	0.25	0.25	0.978	0	0.0083	0.0137
com.neurondevelopments.levelsaid	0.9876	0	0	0	0	0	0.009	0	0.0033	0.083	0	0.917	0.0914	0	0.9086	0.0064	0	0.9936	0.0064	0	0.9936	0.6667	0	0.3333	0	0.9301	0	0.0699	0
com.confidly.confidly	0	0	0	0	0	0	0.9954	0	0.0046	0.2727	0	0.7273	0.32	0	0.68	0.0134	0	0.9866	0.0134	0	0.9866	1	0	0	0	1	0	0	0
com.sports.cricket.schedule	0	0	0	0.0018	0.0018	0	0.9789	0.0106	0.007	0.2414	0.069	0.6897	0.22	0.06	0.72	0.0243	0.0162	0.9595	0.0243	0.0162	0.9595	1	0	0	0	1	0	0	0
pl.plksa.RozkladJazdy	0.9984	0.0008	0	0.0003	0.0001	0	0.0005	0	0	0.0075	0.0373	0.9552	0.0042	0.0146	0.9813	0	0.001	0.999	0	0.001	0.999	0.5	0	0.5	0	0.978	0	0.022	0
com.telerik.GoogleLinks	0.9965	0.0021	0	0.0004	0.0001	0	0.0009	0	0	0.0078	0.0469	0.9453	0.0045	0.0178	0.9777	0.0001	0.0024	0.9976	0.0001	0.0024	0.9976	0.4286	0	0.5714	0	0.9454	0	0.0546	0
com.tobykurien.webapps	0.8636	0.0024	0	0.0637	0.0086	0.0003	0.0424	0.0038	0.0153	0.0584	0.2618	0.6798	0.0568	0.2065	0.7367	0.0159	0.0163	0.9678	0.0159	0.0163	0.9678	0.875	0	0.125	0	0.9999	0	0.0001	0
rfh.sa.yoviajo	0.6227	0.0015	0.0003	0.2213	0.1127	0	0.0284	0.0041	0.009	0.0423	0.0387	0.919	0.0339	0.0667	0.8994	0.0095	0.1178	0.8727	0.0095	0.1178	0.8727	0.7143	0	0	0.2857	0.9457	0	0	0.0543
vn.com.vng.phim123	0.213	0	0	0.1111	0.0278	0	0.5001	0.0185	0.1294	0.2368	0.0789	0.6842	0.2436	0.1026	0.6538	0.13	0.0466	0.8235	0.13	0.0466	0.8235	0	0	0	1	0	0	0	1
com.jb.gokeyboard.theme.tmebluefancy	0.9608	0.0013	0	0	0	0	0.0216	0	0.0164	0.0598	0.0109	0.9293	0.0475	0.0062	0.9463	0.0166	0.0014	0.9821	0.0166	0.0014	0.982	0.7778	0	0.2222	0	0.994	0	0.006	0
org.freeandroidtools.root_checker	0.995	0	0	0	0	0	0.005	0	0	0.0066	0	0.9934	0.0077	0	0.9923	0.0011	0	0.9989	0.0011	0	0.9989	1	0	0	0	1	0	0	0
com.vaishnavism.vishnusahasranaamam.english	0	0	0	0	0	0	0.9299	0	0.0701	0.1765	0	0.8235	0.2353	0	0.7647	0.0704	0	0.9296	0.0704	0	0.9296	1	0	0	0	1	0	0	0
com.mobisoft.morhipo	0.8884	0.0014	0	0.0575	0.0427	0	0.0087	0.0013	0	0.0056	0.2682	0.7263	0.0046	0.2079	0.7875	0	0.0464	0.9536	0	0.0464	0.9536	0	0.1667	0.5	0.3333	0	0.0195	0.1518	0.8286
com.jb.gokeyboard.theme.tmepinkkeyboardpersonalization	0.9586	0.0014	0	0	0	0	0.0223	0	0.0177	0.0598	0.0109	0.9293	0.0472	0.0062	0.9466	0.0179	0.0014	0.9806	0.018	0.0014	0.9806	0.7778	0	0.2222	0	0.9934	0	0.0066	0
com.sbgapps.scoreit	0.9142	0.0002	0.0011	0.0271	0.0223	0	0.0184	0.0037	0.013	0.0783	0.0716	0.8501	0.0659	0.0593	0.8749	0.0169	0.028	0.9552	0.0169	0.028	0.9551	1	0	0	0	1	0	0	0
fr.easytouseapps.calcloan	0.956	0	0	0	0	0	0.0339	0	0.0102	0.0746	0	0.9254	0.0507	0	0.9493	0.0103	0	0.9897	0.0103	0	0.9897	0.7143	0	0.2857	0	0.9392	0	0.0608	0
com.katz.rexall	0.9991	0.0003	0	0.0005	0	0	0.0001	0	0	0.0085	0.0254	0.9661	0.004	0.0121	0.9839	0	0.0004	0.9996	0	0.0004	0.9996	0.4286	0	0.5714	0	0.976	0	0.024	0
cz.lidovky.mobil	0	0	0	0	0	0	0.9985	0	0.0015	0.2727	0	0.7273	0.2593	0	0.7407	0.0065	0	0.9935	0.0065	0	0.9935	1	0	0	0	1	0	0	0
com.nilhcem.hostseditor	0	0	0	0.6667	0.227	0.0071	0.0213	0.0426	0.0355	0.1087	0.4348	0.4565	0.1163	0.4419	0.4419	0.0428	0.2701	0.6871	0.0428	0.2701	0.6871	0	0	0	0	0	0	0	0
com.gerbes.mobile	0.0097	0	0	0.4883	0.5016	0	0	0.0004	0	0.0044	0.6096	0.386	0.0017	0.6319	0.3663	0.0003	0.5257	0.474	0.0003	0.5257	0.474	0	0	0	1	0	0	0	1
com.dialquick	0.9997	0.0001	0	0.0001	0	0	0.0002	0	0	0.0104	0.0208	0.9688	0.0062	0.0062	0.9877	0.0001	0.0001	0.9998	0.0001	0.0001	0.9998	0.75	0	0.25	0	0.9977	0	0.0023	0
mdis.kangur	0.1456	0	0	0.1735	0.6181	0.0001	0.0354	0.0016	0.0258	0.1617	0.1779	0.6604	0.1595	0.1556	0.6849	0.0315	0.6	0.3685	0.0315	0.6003	0.3682	0.6154	0	0	0.3846	0.9422	0	0	0.0578
com.borezo.kasperskyfan	0	0	0	0	0	0	0.9863	0	0.0137	0.2143	0	0.7857	0.2361	0	0.7639	0.0172	0	0.9828	0.0172	0	0.9828	0.3333	0.3333	0.3333	0	0.9481	0.039	0.013	0
com.outilsobdfacile.obd.connecteur	0.4898	0	0.0101	0	0	0	0.4735	0	0.0266	0.1163	0	0.8837	0.1061	0	0.8939	0.0371	0	0.9629	0.0371	0	0.9629	0.7778	0	0.2222	0	0.9988	0	0.0012	0
