0	0	0
0	0	0
0	0	0
0	0	0
0	0.0556	0.037
0	0	0
0	0	0
0.1111	0.1579	0.1429
0	0	0
0	0	0
0.12	0.1719	0.1573
0.5	0.4615	0.4783
0	0.1277	0.0857
0	0	0
0.8667	0.3929	0.4646
0.4286	0.2857	0.3429
0	0	0
0	0	0
0.0625	0.3333	0.1364
0.0588	0.1111	0.0769
0	0.1667	0.1077
0	0	0
0	0	0
0	0	0
0	0.0286	0.0217
0	0.0417	0.0256
0	0	0
0	0	0
0	0	0
0	0	0
0	0.2	0.1538
0	1	1
0	0	0
0	0	0
0.2353	0.6	0.3704
0.7333	0	0.2107
0	0.3333	0.3333
0.1176	0.2162	0.1852
0.2083	0.0123	0.0853
0.0556	0	0.0192
0	0	0
0	0	0
0	0	0
0	0.2059	0.1373
0	0.2	0.1538
0	0	0
0	0	0
0.2353	0	0.1481
0.5263	0	0.3333
0	0.2121	0.14
0	0.2381	0.1744
0	0	0
0	0.1795	0.1167
0.0588	0.0385	0.0465
0.6667	0	0.375
0.4615	0.1739	0.2778
0	0	0
0	0.186	0.1311
1	0.3333	0.4286
0.0952	0.1622	0.1474
0.2105	0.129	0.16
0.3438	0.0175	0.1348
0.3824	0.0526	0.2083
0.375	0.0851	0.1831
0.2778	0	0.119
0.1818	0.027	0.1
0.6875	0	0.55
0.0625	0.2414	0.1778
0.2778	0	0.1667
0	0	0
0	0	0
0	0.0294	0.0192
1	0.7857	0.8421
0	0.112	0.0848
0	0	0
0	0.25	0.1053
0.6316	0	0.4138
0	0.1781	0.1275
0	0.0274	0.0194
0.1	0.1458	0.1324
0	0.0294	0.0196
0.0625	0	0.0136
0.2353	0	0.1538
0	0	0
0.32	0	0.2222
0	0	0
0	0.1413	0.1048
0	1	1
0	0.1111	0.0784
0.0357	0.0625	0.05
0.3611	0.0693	0.146
0.3636	0.2	0.2692
0.0769	0.2593	0.1698
1	0	0.2
0.0833	0	0.0429
0	0	0
0.3111	0.1029	0.1858
0.4074	0	0.2075
0.3143	0.05	0.1474
0.1	0	0.0469
0	0	0
0.1	0	0.0469
0.3548	0.0408	0.1625
0.0833	0	0.0429
0	0.1316	0.0862
0	0	0
0	0	0
0.5556	0.4889	0.5139
0	0	0
0.6471	0.0833	0.4138
0	0	0
0	0	0
0	0	0
0	0.2703	0.1818
0	0.1842	0.1333
0	0	0
0	0	0
0	0	0
0.1905	0.2745	0.25
0	0	0
0.0625	0.1429	0.1136
0	0.4899	0.4148
0	0	0
0.0312	0	0.0169
0.303	0.0278	0.1594
0	0	0
0.25	0.0625	0.1346
0.1	0	0.0385
0	0	0
0	0	0
0.1176	0.2286	0.1923
0	0	0
0	0	0
0.0625	0.04	0.0488
0.4902	0.1275	0.2484
0.1	0.2162	0.1754
0	0	0
0	0	0
0.1143	0.0217	0.0617
0	0.2	0.2
0.2727	0.0435	0.1176
0	0.0159	0.011
